,Star_name,Distance,Mass,Radius
0,Sun,0.000015813,1,1
1,Sirius,0008.6,2.1,1.71´
2,Canopus,0310,15,71
3,Alpha Centauri,0004.4,1.1,1.2
4,Arcturus,0037,1.1,26
5,Vega,0025,2.2,2.7
6,Capella,0043,2.6,12
7,Rigel,0860,23,78.9
8,Procyon,0011.4,1.5,1.9
9,Betelgeuse,0640[1],20,950
10,Achernar,0144,6.7,9.3
11,Hadar,0390,10.5,8.6
12,Altair,0017,1.8,1.8
13,Acrux,0320,18,8.9
14,Aldebaran,0065,1.5,44
15,Antares,0600,12,680
16,Spica,0260,11.43,7.47
17,Pollux,0034,1.9,8.8
18,Fomalhaut,0025,1.9,1.8
19,Deneb,"2,600",19,203
20,Mimosa,0350,16,8.4
21,Regulus,0077,3.8,3.1
22,Adhara,0430,12.5,14
23,Shaula,0700,14.5,8.8
24,Castor,0052,2.8,2.4
25,Gacrux,0088,1.5,84
26,Bellatrix,0240,8.6,5.8
27,Elnath,0130,5.0,4.2
28,Miaplacidus,0110,3.5,6.8
29,Alnilam,"2,000",32,42
30,Gamma Velorum,"01,100",9.0,6
31,Alnair,0101,4.0,3.4
32,Alioth,0081,2.9,4.2
33,Alnitak,01050,33,20
34,Dubhe,0120,4.25,30
35,Mirfak,0590,8.5,68
36,Wezen,"1,600",17,200
37,Sargas,0270,5.7,26
38,Kaus Australis,0140,3.5,6.8
39,Avior,0630,9.0,130
40,Alkaid,0104,6.1,3.4
41,Menkalinan,081,2.39,2.77
42,Atria,0390,7,92
43,Alhena,0109,2.8,3.3
44,Peacock,0180,5.9,4.8
45,Alsephina[2],0080,2.4,2.9
46,Mirzam,0500,13.5,10
47,Polaris,0430,5.4,39
48,Alphard,0180,3.0,50
49,Mintaka,01200,24,16.5
50,Scheat,0196,2.1,95
51,Almaaz,0653,15,140
52,Rasalgethi,0360,2.8,280
53,Tau Ceti,011.9,0.783,0.893
54,Delta Pavonis,019.92,0.991,1.22
55,Ran,010.48,0.82,0.74
56,V382 Carinae,"08,900",20,485
57,Eta Carinae,"07,500",100,60–881
58,Delta Cephei,0887,4.5,44.5
59,Mu Cephei,"06,000",19.2,972
60,Titawin,044.25,1.27,1.48
61,Rho Cassiopeiae,"08,154",22,636-981
62,P Cygni,"05,545",30,76
63,VV Cephei,"04,900",18.2,"516 - 1,050"
64,61 Cygni,011.41,0.7,0.665
65,R Doradus,0178,0.7 - 1.0,298
66,Polaris Australis,0281,1.59,3.74
67,R Coronae Borealis,"04,566",0.85,85
68,54 Piscium,036.1,0.76,0.94
69,Mira,0300,1.2,370
70,RW Cephei,"014,000",13.9,"1,158"
71,Lacaille 8760,012.87,0.6,0.51
72,V838 Monocerotis,"019,896",?,380 - 750
73,HD 140283,0190,?,1.4
74,II Pegasi,0130,0.8,3.4
75,VY Canis Majoris,"03,900",17,"1,420"
76,Pistol Star,"025,000",100,320
77,S Doradus,"0169,000",24,380
78,UY Scuti,"05,100",7–10,755
79,Barnard's Star,05.98,0.14,0.20
80,Luhman 16,06.52,0.04,?
81,Proxima Centauri,04.25,0.12,0.15
82,KIC 8462852,"01,470",1.43,1.58
83,R136a1,"0163,000",290,32
84,Melnick 42,"0163,000",189,21.1
85,WR 102,"018,134",19,0.39
86,VFTS 352,"0164,000",57.48,14.47
87,YBP 1194,"02,772",1.01,0.99
88,Gliese 1214,047.5,0.16,0.21
89,NML Cygni,"05,251",50,"1,640 - 2,770"
90,VB 10,018.72,0.075,0.10
91,WOH G64,"0163,000",<20,"1,540 - 1,730"
92,TRAPPIST-1,039.6,0.089,0.12
93,2MASS J0523-1403,040.3,0.07,0.086
94,WISE 0855−0714,07.27,0.003,?
95,Icarus,"014,400,000,000",33,?
96,SDSS J000013.54+255418.6 [de],46.1,0.0009450421200000001,205.937052
97,2MASS 0036+1821,28.6,0.00089731272,205.52599999999998
98,2MASS J02431371−2453298,35.0,0.0009450421200000001,205.73152599999997
99,Teegarden's star,12.578,0.0012123267600000001,205.83428899999998
100,DEN 0255-4700,16.2,0.00092595036,206.142578
101,2MASS J03185403-3421292 [de],45.0,0.00092595036,206.34810399999998
102,2MASS J03264225-2102057 [de],80.0,0.0012409644000000001,205.83428899999998
103,2MASS J03284265+2302051 [de],98.0,0.00093549624,205.52599999999998
104,2MASP J0345432+254023,88.0,0.0010023174,205.21771099999998
105,Teide 1,380.0,0.00360834264,205.012185
106,2MASS J03552337+1133437,29.8,0.00126005616,206.142578
107,2MASS J04151954−0935066,18.6,0.0009068586,205.73152599999997
108,2MASS J04285096-2253227 [de],85.0,0.0010405009200000002,205.83428899999998
109,2MASS J04390101-2353083 [de],29.5,0.00092595036,205.83428899999998
110,2MASS J04455387-3048204 [de],42.0,0.000954588,205.83428899999998
111,2MASS J04510093-3402150 [de],69.0,0.068730336,205.83428899999998
112,2MASS J05002100+0330501 [de],44.0,0.000954588,206.34810399999998
113,2MASS J05012406-0010452 [de],64.0,0.00131733144,206.34810399999998
114,2MASS J05160945-0445499 [de],73.0,0.00092595036,205.83428899999998
115,LSR 0602+3910 [de],34.6,0.00134596908,205.83428899999998
116,2MASS J06244595-4521548 [de],39.0,0.0009450421200000001,206.34810399999998
117,2MASS J06411840-4322329 [de],65.0,0.00096413388,206.34810399999998
118,DENIS-P J0652197-253450 [de],51.0,0.0010023174,206.34810399999998
119,UGPS J072227.51-054031.2,13.4,0.00093549624,206.55363
120,2MASSI J0727182+171001 [de],29.6,0.00089731272,205.73152599999997
121,2MASS J07290002-3954043 [de],25.8,0.00089731272,206.245341
122,SDSS J074201.41+205520.5 [de],49.0,0.00089731272,205.937052
123,DENIS-P J0751164-253043 [de],55.0,0.0009832256400000002,206.34810399999998
